"ประทับเวลา","สถานภาพของผู้ตอบแบบสอบถาม","หลักสูตร/สาขา","ชั้นปี (ถ้าเป็นนักศึกษา)","ท่านใช้สิ่งสนับสนุนการเรียนรู้ของคณะบ่อยเพียงใด","1. ห้องเรียนมีจำนวนเพียงพอและมีสภาพแวดล้อมที่เอื้อต่อการเรียนรู้  (AUN-QA 7.1)  ","2. ห้องปฏิบัติการ/อุปกรณ์เฉพาะทาง มีความทันสมัยและพร้อมใช้งาน (AUN-QA 7.2)  ","3. ทรัพยากรห้องสมุด (หนังสือ / e-Book / Database) ตรงกับความต้องการ (AUN-QA 7.3)  ","4. ระบบเทคโนโลยีสารสนเทศและ Wi-Fi มีความเสถียรและครอบคลุม (AUN-QA 7.4)  ","5. มาตรฐานความปลอดภัย (ถังดับเพลิง ป้ายทางหนีไฟ ระบบรักษาความปลอดภัย) (AUN-QA 7.5)  ","6.  ความสะอาดของห้องน้ำและพื้นที่ส่วนกลาง ","7.  พื้นที่สำหรับพักผ่อนหรือทำงานกลุ่ม (Co-working Space) ","8. ความสว่างและการระบายอากาศในอาคาร ","9.  สิ่งอำนวยความสะดวกสำหรับผู้พิการ เช่น ทางลาดสำหรับผู้พิการ ห้องน้ำผู้พิการ เป็นต้น","10. เจ้าหน้าที่ผู้ดูแลสิ่งอำนวยความสะดวกให้บริการด้วยความสุภาพและรวดเร็ว (AUN-QA 7.6)  ","11.  เจ้าหน้าที่ผู้ดูแล (ช่าง / บรรณารักษ์ / IT) มีความรู้และเต็มใจให้บริการ (AUN-QA 7.6)  ","12. ระบบการแจ้งซ่อมหรือขอความช่วยเหลือมีความสะดวกและมีประสิทธิภาพ (AUN-QA 7.7)  ","13.  เมื่อมีการแจ้งปัญหา ท่านได้รับการตอบสนองหรือแก้ไขภายในเวลาที่เหมาะสม (AUN-QA 7.7)  ","14.  สิ่งสนับสนุนการเรียนรู้ของคณะช่วยให้การเรียนของท่านมีประสิทธิภาพมากขึ้น ","15.  สิ่งอำนวยความสะดวกของคณะช่วยส่งเสริมการเรียนรู้และการทำงานร่วมกันของนักศึกษา ","16. สิ่งสนับสนุนการเรียนรู้ของคณะมีความเพียงพอต่อความต้องการในการเรียน","17. สิ่งใดควรได้รับการปรับปรุงมากที่สุด (เลือกได้มากกว่า 1 ข้อ)  ","18. ท่านมีความพึงพอใจต่อสิ่งสนับสนุนการเรียนรู้ของคณะโดยรวมในระดับใด  ","19. ข้อเสนอแนะเพิ่มเติม"
"2569/03/15 2:48:39 PM GMT+7","อาจารย์","การจัดการธุรกิจสมัยใหม่","","ใช้ทุกวัน","5","5","4","4","4","5","5","5","5","5","5","5","5","4","4","4","การบริการของเจ้าหน้าที่","4",""
"2569/03/15 2:56:09 PM GMT+7","อาจารย์","คอมพิวเตอร์ธุรกิจ","","ใช้ทุกวัน","4","3","3","5","5","4","5","5","5","3","3","3","4","3","3","2","ห้องปฏิบัติการ;การบริการของเจ้าหน้าที่","4","ควรปรับปรุงเว็บไซต์ของคณะให้มีความทันสมัย"
"2569/03/15 3:01:34 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 3  หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2568","ใช้สัปดาห์ละหลายครั้ง","3","3","3","2","4","4","4","4","2","3","4","3","3","4","3","3","ห้องปฏิบัติการ;ระบบอินเทอร์เน็ต","4",""
"2569/03/15 3:01:44 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 3  หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2568","ใช้สัปดาห์ละหลายครั้ง","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","ระบบอินเทอร์เน็ต","5",""
"2569/03/15 3:02:21 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 3  หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2568","ใช้สัปดาห์ละหลายครั้ง","4","4","4","4","4","4","4","4","5","5","5","5","4","4","5","4","การบริการของเจ้าหน้าที่","5","-"
"2569/03/15 3:02:58 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 3  หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2568","ใช้เดือนละหลายครั้ง","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","ระบบอินเทอร์เน็ต","3",""
"2569/03/15 3:04:54 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 3  หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2568","ใช้สัปดาห์ละหลายครั้ง","4","4","4","4","4","3","3","4","3","3","3","3","3","3","3","4","ระบบอินเทอร์เน็ต;การบริการของเจ้าหน้าที่","4",""
"2569/03/15 3:05:27 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 3  หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2568","ใช้นาน ๆ ครั้ง","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","ห้องเรียน;ห้องปฏิบัติการ;ระบบอินเทอร์เน็ต","4",""
"2569/03/15 3:06:22 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 3  หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2568","ใช้สัปดาห์ละหลายครั้ง","5","4","5","3","4","4","5","5","5","5","5","5","5","5","5","5","ห้องเรียน;ห้องปฏิบัติการ;ระบบอินเทอร์เน็ต","5",""
"2569/03/15 3:06:27 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 3  หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2568","ใช้สัปดาห์ละหลายครั้ง","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","ห้องปฏิบัติการ;ระบบอินเทอร์เน็ต;การบริการของเจ้าหน้าที่","4",""
"2569/03/15 3:06:30 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 3  หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2568","ใช้ทุกวัน","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","ห้องเรียน;ห้องปฏิบัติการ;ห้องสมุด;ระบบอินเทอร์เน็ต;ความสะอาดและสิ่งแวดล้อม;การบริการของเจ้าหน้าที่","5",""
"2569/03/15 3:06:40 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 3  หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2568","ใช้นาน ๆ ครั้ง","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","ห้องเรียน;ห้องปฏิบัติการ;ระบบอินเทอร์เน็ต","3",""
"2569/03/15 3:06:40 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 3  หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2568","ใช้สัปดาห์ละหลายครั้ง","5","5","5","5","4","4","4","4","4","4","4","4","5","5","4","5","การบริการของเจ้าหน้าที่","4","-"
"2569/03/15 3:07:22 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 3  หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2568","ใช้สัปดาห์ละหลายครั้ง","4","4","5","4","5","5","3","5","5","4","5","5","5","4","5","5","ห้องปฏิบัติการ","4",""
